,doc_id,sentence,word_number
412,T890104.86,63741,18
413,T890104.86,63742,45
414,T890104.86,63743,18
415,T890104.86,63744,28
416,T890104.86,63745,12
417,T890104.86,63746,9
418,T890104.86,63747,24
419,T890104.86,63748,37
420,T890104.86,63749,22
421,T890104.86,63750,17
422,T890104.86,63751,22
423,T890104.86,63752,11
424,T890104.86,63753,41
425,T890104.86,63754,9
426,T890104.86,63755,17
427,T890104.86,63756,13
428,T890104.86,63757,20
429,T890104.86,63758,1
430,T890107.165,63759,1
431,T890107.165,63760,5
432,T890107.165,63761,6
433,T890107.165,63762,24
434,T890107.165,63763,21
435,T890107.165,63764,28
436,T890107.165,63765,37
437,T890107.165,63766,17
438,T890107.165,63767,12
439,T890107.165,63768,26
440,T890107.165,63769,6
441,T890107.165,63770,6
442,T890107.165,63771,9
443,T890107.165,63772,16
444,T890107.165,63773,6
445,T890107.165,63774,20
446,T890107.165,63775,30
447,T890107.165,63776,15
448,T890107.165,63777,6
449,T890107.165,63778,14
450,T890107.165,63779,29
451,T890107.165,63780,8
452,T890107.165,63781,2
453,T890107.165,63782,2
454,T890107.165,63783,38
455,T890107.165,63784,2
456,T890107.165,63785,3
457,T890107.165,63786,10
458,T890107.165,63787,6
459,T890107.165,63788,4
460,T890107.165,63789,4
461,T890107.165,63790,22
462,T890107.165,63791,11
463,T890107.165,63792,20
464,T890107.165,63793,15
465,T890107.165,63794,7
466,T890107.165,63795,8
467,T890107.165,63796,7
468,T890107.165,63797,26
469,T890107.165,63798,5
470,T890107.165,63799,7
471,T890107.165,63800,5
472,T890107.165,63801,16
473,T890107.165,63802,11
474,T890107.165,63803,7
475,T890107.165,63804,17
476,T890107.165,63805,7
477,T890107.165,63806,7
478,T890107.165,63807,3
479,T890107.165,63808,8
480,T890107.165,63809,4
481,T890107.165,63810,18
482,T890107.165,63811,15
483,T890107.165,63812,12
484,T890107.165,63813,10
485,T890107.165,63814,18
486,T890107.165,63815,21
487,T890107.165,63816,23
488,T890107.165,63817,10
489,T890107.165,63818,24
490,T890107.165,63819,9
491,T890107.165,63820,6
492,T890107.165,63821,3
493,T890107.165,63822,4
494,T890107.165,63823,11
495,T890107.165,63824,3
496,T890107.165,63825,11
497,T890107.165,63826,11
498,T890107.165,63827,35
499,T890107.165,63828,28
500,T890107.165,63829,5
501,T890107.165,63830,6
502,T890107.165,63831,22
503,T890107.165,63832,19
504,T890107.165,63833,29
505,T890107.165,63834,4
506,T890107.165,63835,20
507,T890107.165,63836,10
508,T890107.165,63837,24
509,T890107.165,63838,12
510,T890107.165,63839,14
511,T890107.165,63840,18
512,T890107.165,63841,27
513,T890107.165,63842,10
514,T890107.165,63843,8
515,T890107.165,63844,18
516,T890107.165,63845,3
517,T890107.165,63846,5
518,T890107.165,63847,11
519,T890107.165,63848,18
520,T890107.165,63849,18
521,T890107.165,63850,15
522,T890107.165,63851,2
523,T890107.165,63852,2
524,T890107.209,63853,1
525,T890107.209,63854,9
526,T890107.209,63855,35
527,T890107.209,63856,33
528,T890107.209,63857,21
529,T890107.209,63858,18
530,T890107.209,63859,22
531,T890107.209,63860,79
532,T890107.209,63861,50
533,T890107.209,63862,33
534,T890107.209,63863,41
535,T890107.209,63864,9
536,T890107.209,63865,22
537,T890107.209,63866,16
538,T890107.209,63867,16
539,T890107.209,63868,22
540,T890107.209,63869,21
541,T890107.209,63870,16
542,T890107.209,63871,32
543,T890107.209,63872,26
544,T890107.209,63873,24
545,T890107.209,63874,35
546,T890107.209,63875,24
547,T890107.209,63876,1
548,T890107.209,63877,18
549,T890107.209,63878,22
550,T890107.209,63879,6
551,T890107.209,63880,8
552,T890107.209,63881,25
553,T890107.209,63882,45
554,T890107.209,63883,14
555,T890107.209,63884,10
556,T890107.209,63885,5
557,T890107.209,63886,24
558,T890107.209,63887,23
559,T890107.209,63888,14
560,T890107.209,63889,18
561,T890107.209,63890,8
562,T890107.209,63891,13
563,T890107.209,63892,18
564,T890107.209,63893,36
565,T890107.209,63894,18
566,T890107.209,63895,10
567,T890107.209,63896,5
568,T890107.209,63897,24
569,T890107.209,63898,21
570,T890107.209,63899,4
571,T890107.209,63900,22
572,T890107.209,63901,20
573,T890107.209,63902,16
574,T890107.209,63903,16
575,T890107.209,63904,21
576,T890107.209,63905,9
577,T890107.209,63906,27
578,T890107.209,63907,5
579,T890107.209,63908,9
580,T890107.209,63909,44
581,T890107.209,63910,26
582,T890107.209,63911,5
583,T890107.209,63912,9
584,T890107.209,63913,50
585,T890107.209,63914,16
586,T890107.209,63915,23
587,T890107.209,63916,6
588,T890107.209,63917,13
589,T890107.209,63918,8
590,T890107.209,63919,7
591,T890107.209,63920,10
592,T890107.209,63921,16
593,T890107.209,63922,19
594,T890107.209,63923,46
595,T890107.209,63924,14
596,T890107.209,63925,5
597,T890107.209,63926,39
598,T890107.209,63927,12
599,T890107.209,63928,23
600,T890107.209,63929,10
601,T890107.209,63930,8
602,T890107.209,63931,6
603,T890107.209,63932,9
604,T890107.209,63933,9
605,T890107.209,63934,6
606,T890107.209,63935,30
607,T890107.209,63936,3
608,T890107.209,63937,12
609,T890107.209,63938,18
610,T890107.209,63939,8
611,T890107.209,63940,8
612,T890107.209,63941,14
613,T890107.209,63942,26
614,T890107.209,63943,22
615,T890107.209,63944,22
616,T890107.209,63945,4
617,T890107.209,63946,27
618,T890107.209,63947,24
619,T890107.209,63948,11
620,T890107.209,63949,9
621,T890107.209,63950,8
622,T890107.209,63951,9
623,T890107.209,63952,3
624,T890107.209,63953,3
625,T890107.209,63954,6
626,T890107.209,63955,3
627,T890107.209,63956,20
628,T890107.209,63957,4
629,T890107.209,63958,18
630,T890107.209,63959,19
631,T890107.209,63960,2
632,T890107.209,63961,5
633,T890107.209,63962,11
634,T890107.209,63963,5
635,T890107.209,63964,14
636,T890107.209,63965,16
637,T890107.209,63966,5
638,T890107.209,63967,12
639,T890107.209,63968,17
640,T890107.209,63969,10
641,T890107.209,63970,29
642,T890107.209,63971,3
643,T890107.209,63972,19
644,T890107.209,63973,6
645,T890107.209,63974,46
646,T890107.209,63975,10
647,T890109.190,63976,40
648,T890109.190,63977,9
649,T890109.190,63978,11
650,T890109.190,63979,14
651,T890109.190,63980,5
652,T890109.190,63981,29
653,T890109.190,63982,3
654,T890109.190,63983,6
655,T890109.190,63984,32
656,T890109.190,63985,8
657,T890109.190,63986,8
658,T890109.190,63987,9
659,T890109.190,63988,18
660,T890109.190,63989,19
661,T890109.190,63990,11
662,T890109.190,63991,2
663,T890109.190,63992,12
664,T890109.190,63993,5
665,T890109.190,63994,8
666,T890109.190,63995,4
667,T890109.190,63996,5
668,T890109.190,63997,2
669,T890109.190,63998,5
670,T890109.190,63999,3
671,T890109.190,64000,4
672,T890109.190,64001,17
673,T890109.190,64002,14
674,T890109.190,64003,30
675,T890109.190,64004,14
676,T890109.190,64005,26
677,T890109.190,64006,12
678,T890109.190,64007,46
679,T890109.190,64008,25
680,T890109.190,64009,8
681,T890109.190,64010,6
682,T890109.190,64011,2
683,T890109.190,64012,9
684,T890109.190,64013,46
685,T890109.190,64014,46
686,T890109.190,64015,10
687,T890109.190,64016,2
688,T890109.190,64017,9
689,T890109.190,64018,5
690,T890109.190,64019,4
691,T890109.190,64020,14
692,T890109.190,64021,14
693,T890109.190,64022,23
694,T890109.190,64023,12
695,T890109.190,64024,67
696,T890109.190,64025,45
697,T890109.190,64026,9
698,T890109.190,64027,5
699,T890109.190,64028,3
700,T890109.190,64029,5
701,T890109.190,64030,16
702,T890109.190,64031,65
703,T890109.190,64032,12
704,T890109.190,64033,16
705,T890109.190,64034,10
706,T890109.190,64035,3
707,T890109.190,64036,3
708,T890109.190,64037,8
709,T890109.190,64038,64
710,T890109.190,64039,50
711,T890109.190,64040,8
712,T890109.190,64041,1
713,T890109.190,64042,13
714,T890109.190,64043,15
715,T890109.190,64044,5
716,T890109.190,64045,42
717,T890109.190,64046,6
718,T890109.190,64047,14
719,T890109.190,64048,70
720,T890109.190,64049,32
721,T890109.190,64050,29
722,T890109.190,64051,9
723,T890109.190,64052,14
724,T890109.190,64053,23
725,T890109.190,64054,28
726,T890109.190,64055,20
727,T890109.190,64056,2
728,T890109.190,64057,2
729,T890109.190,64058,7
730,T890109.190,64059,54
731,T890109.190,64060,20
732,T890109.190,64061,29
733,T890109.190,64062,8
734,T890109.190,64063,25
735,T890109.190,64064,11
736,T890109.190,64065,1
737,T890109.190,64066,14
738,T890109.190,64067,11
739,T890109.190,64068,5
740,T890109.190,64069,13
741,T890109.190,64070,19
742,T890109.190,64071,16
743,T890109.190,64072,13
744,T890109.190,64073,6
745,T890109.190,64074,51
746,T890109.190,64075,33
747,T890109.190,64076,19
748,T890109.190,64077,16
749,T890109.190,64078,23
750,T890109.190,64079,41
751,T890109.190,64080,5
752,T890109.190,64081,3
753,T890109.190,64082,3
754,T890109.190,64083,4
755,T890109.190,64084,63
756,T890109.190,64085,37
757,T890109.190,64086,31
758,T890109.190,64087,23
759,T890109.190,64088,92
760,T890109.190,64089,1
761,T890110.171,64090,25
762,T890110.171,64091,22
763,T890110.171,64092,24
764,T890110.171,64093,8
765,T890110.171,64094,88
766,T890110.171,64095,67
767,T890110.171,64096,37
768,T890110.171,64097,8
769,T890110.171,64098,28
770,T890110.171,64099,7
771,T890110.171,64100,11
772,T890110.171,64101,10
773,T890110.171,64102,33
774,T890110.171,64103,38
775,T890110.171,64104,49
776,T890110.171,64105,54
777,T890110.171,64106,25
778,T890110.171,64107,46
779,T890110.171,64108,44
780,T890110.171,64109,4
781,T890110.171,64110,50
782,T890110.171,64111,81
783,T890110.171,64112,15
784,T890110.171,64113,25
785,T890110.171,64114,5
786,T890110.171,64115,40
787,T890110.171,64116,15
788,T890110.171,64117,48
789,T890110.171,64118,12
790,T890110.171,64119,23
791,T890110.171,64120,32
792,T890110.171,64121,61
793,T890110.171,64122,5
794,T890110.171,64123,5
795,T890110.171,64124,38
796,T890110.171,64125,32
797,T890110.171,64126,23
798,T890110.171,64127,12
799,T890110.171,64128,15
800,T890110.171,64129,2
801,T890110.171,64130,26
802,T890110.171,64131,26
803,T890110.171,64132,20
804,T890110.171,64133,14
805,T890110.171,64134,7
806,T890110.171,64135,9
807,T890110.171,64136,10
808,T890110.171,64137,13
809,T890110.171,64138,4
810,T890110.171,64139,8
811,T890110.171,64140,20
812,T890110.171,64141,3
813,T890110.171,64142,17
814,T890110.171,64143,7
815,T890110.171,64144,10
816,T890110.171,64145,12
817,T890110.171,64146,12
818,T890110.171,64147,7
819,T890110.171,64148,2
820,T890110.171,64149,3
821,T890110.171,64150,4
822,T890110.171,64151,23
823,T890110.171,64152,26
824,T890110.171,64153,27
825,T890110.171,64154,5
826,T890110.171,64155,23
827,T890110.171,64156,28
828,T890110.171,64157,36
829,T890110.171,64158,25
830,T890110.171,64159,13
831,T890110.171,64160,18
832,T890110.171,64161,10
833,T890110.171,64162,57
834,T890110.171,64163,9
835,T890110.171,64164,21
836,T890110.171,64165,49
837,T890110.171,64166,43
838,T890110.171,64167,13
839,T890110.171,64168,17
840,T890110.171,64169,3
841,T890111.43,64170,4
842,T890111.43,64171,9
843,T890111.43,64172,4
844,T890111.43,64173,12
845,T890111.43,64174,17
846,T890111.43,64175,8
847,T890111.43,64176,21
848,T890111.43,64177,29
849,T890111.43,64178,16
850,T890111.43,64179,34
851,T890111.43,64180,7
852,T890111.43,64181,16
853,T890111.43,64182,18
854,T890111.43,64183,26
855,T890111.43,64184,19
856,T890111.43,64185,26
857,T890111.43,64186,15
858,T890111.43,64187,26
859,T890111.43,64188,13
860,T890111.43,64189,3
861,T890111.43,64190,25
862,T890111.43,64191,21
863,T890111.43,64192,15
864,T890111.43,64193,17
865,T890111.43,64194,11
866,T890111.43,64195,12
867,T890111.43,64196,19
868,T890111.43,64197,23
869,T890111.43,64198,17
870,T890111.43,64199,27
871,T890111.43,64200,16
872,T890111.43,64201,13
873,T890111.43,64202,10
874,T890111.43,64203,13
875,T890111.43,64204,6
876,T890111.43,64205,23
877,T890111.43,64206,32
878,T890111.43,64207,11
879,T890111.43,64208,14
880,T890111.43,64209,11
881,T890111.43,64210,17
882,T890111.43,64211,26
883,T890111.43,64212,8
884,T890111.43,64213,11
885,T890111.43,64214,14
886,T890111.43,64215,21
887,T890111.43,64216,25
888,T890111.43,64217,15
889,T890111.43,64218,32
890,T890111.43,64219,10
891,T890111.43,64220,3
892,T890111.43,64221,2
893,T890111.43,64222,18
894,T890111.43,64223,42
895,T890111.43,64224,30
896,T890111.43,64225,15
897,T890111.43,64226,18
898,T890111.43,64227,42
899,T890111.43,64228,7
900,T890111.43,64229,8
901,T890111.43,64230,22
902,T890111.43,64231,12
903,T890111.43,64232,28
904,T890111.43,64233,7
905,T890111.43,64234,15
906,T890111.43,64235,5
907,T890111.43,64236,28
908,T890111.43,64237,17
909,T890111.43,64238,20
910,T890111.43,64239,3
911,T890111.43,64240,22
912,T890111.43,64241,9
913,T890111.43,64242,42
914,T890111.43,64243,29
915,T890111.43,64244,10
916,T890111.43,64245,18
917,T890111.43,64246,18
918,T890111.43,64247,6
919,T890111.43,64248,25
920,T890111.43,64249,15
921,T890111.43,64250,3
922,T890111.43,64251,14
923,T890111.43,64252,28
924,T890111.43,64253,15
925,T890111.43,64254,15
926,T890111.43,64255,21
927,T890111.43,64256,19
928,T890111.43,64257,10
929,T890111.43,64258,31
930,T890111.43,64259,22
931,T890111.43,64260,43
932,T890111.43,64261,4
933,T890111.50,64262,3
934,T890111.50,64263,31
935,T890111.50,64264,4
936,T890111.50,64265,27
937,T890111.50,64266,20
938,T890111.50,64267,19
939,T890111.50,64268,18
940,T890111.50,64269,14
941,T890111.50,64270,39
942,T890111.50,64271,18
943,T890111.50,64272,15
944,T890111.50,64273,39
945,T890111.50,64274,19
946,T890111.50,64275,8
947,T890111.50,64276,16
948,T890111.50,64277,18
949,T890111.50,64278,30
950,T890111.50,64279,8
951,T890111.50,64280,19
952,T890111.50,64281,23
953,T890111.50,64282,22
954,T890111.50,64283,22
955,T890111.50,64284,10
956,T890111.50,64285,43
957,T890111.50,64286,23
958,T890111.50,64287,15
959,T890111.60,64288,7
960,T890111.60,64289,33
961,T890111.60,64290,22
962,T890111.60,64291,42
963,T890111.60,64292,29
964,T890111.60,64293,55
965,T890111.60,64294,34
966,T890111.60,64295,11
967,T890111.60,64296,20
968,T890111.60,64297,37
969,T890111.60,64298,14
970,T890111.60,64299,18
971,T890111.60,64300,34
972,T890111.60,64301,6
973,T890111.60,64302,17
974,T890111.60,64303,8
975,T890111.60,64304,9
976,T890111.60,64305,18
977,T890111.60,64306,23
978,T890111.60,64307,48
979,T890111.60,64308,33
980,T890111.60,64309,18
981,T890111.60,64310,17
982,T890111.60,64311,24
983,T890111.60,64312,25
984,T890111.60,64313,15
985,T890111.60,64314,20
986,T890111.60,64315,18
987,T890112.182,64316,11
988,T890112.182,64317,14
989,T890112.182,64318,44
990,T890112.182,64319,12
991,T890112.182,64320,50
992,T890112.182,64321,54
993,T890112.182,64322,45
994,T890112.182,64323,17
995,T890112.182,64324,28
996,T890112.182,64325,33
997,T890112.182,64326,30
998,T890112.182,64327,24
999,T890112.182,64328,13
1000,T890112.182,64329,31
1001,T890112.182,64330,58
1002,T890112.182,64331,31
1003,T890112.182,64332,55
1004,T890112.182,64333,9
1005,T890112.182,64334,13
1006,T890112.182,64335,21
1007,T890112.182,64336,14
1008,T890112.182,64337,22
1009,T890112.182,64338,56
1010,T890112.182,64339,16
1011,T890112.182,64340,21
1012,T890112.182,64341,37
1013,T890112.182,64342,28
1014,T890112.182,64343,40
1015,T890112.182,64344,14
1016,T890112.182,64345,25
1017,T890112.182,64346,15
1018,T890112.182,64347,10
1019,T890112.182,64348,14
1020,T890112.182,64349,19
1021,T890112.182,64350,48
1022,T890112.182,64351,16
1023,T890112.182,64352,18
1024,T890112.182,64353,28
1025,T890112.182,64354,30
1026,T890112.182,64355,18
1027,T890112.182,64356,7
1028,T890112.182,64357,20
1029,T890112.182,64358,9
1030,T890112.182,64359,67
1031,T890112.182,64360,19
1032,T890112.182,64361,32
1033,T890112.182,64362,24
1034,T890112.182,64363,17
1035,T890112.182,64364,40
1036,T890112.182,64365,20
1037,T890112.182,64366,46
1038,T890112.182,64367,25
1039,T890112.182,64368,34
1040,T890112.182,64369,30
1041,T890112.182,64370,22
1042,T890112.182,64371,14
1043,T890112.182,64372,39
1044,T890112.182,64373,26
1045,T890112.182,64374,44
1046,T890112.182,64375,24
1047,T890112.182,64376,20
1048,T890112.182,64377,15
1049,T890112.182,64378,26
1050,T890112.182,64379,2
1051,T890113.173,64422,1
1052,T890113.173,64423,2
1053,T890113.173,64424,38
1054,T890113.173,64425,19
1055,T890113.173,64426,10
1056,T890113.173,64427,23
1057,T890113.173,64428,29
1058,T890113.173,64429,24
1059,T890113.173,64430,2
1060,T890113.173,64431,37
1061,T890113.173,64432,11
1062,T890113.173,64433,24
1063,T890113.173,64434,10
1064,T890113.173,64435,26
1065,T890113.173,64436,12
1066,T890113.173,64437,10
1067,T890113.173,64438,3
1068,T890113.173,64439,23
